"","...1","date","EmployeeStatus","reviewer_id","rating_overall.2.11.","rating_workfamily","rating_culture","rating_diversity","rating_leadership","rating_opportunity","rating_compensation","review_pros","review_cons","ceo_approval","Company"
"598",1022,2020-08-11 05:24:22,TRUE,34795654,3,4,4,0,5,5,4,"Great people to work with","Some coworkers are based overseas","1","Advanced Micro Device"
"599",1023,2009-08-16 14:10:36,TRUE,269835,1,4,0,0,2,2,2,"Work\u002Flife balance is correct. But at the same time its one of the company's biggest problems: everyone hits the door at 5 and nobody is burning the midnight oil making the next big thing.","Work\u002Flife is also the problem: everyone hits the door at 5 and nobody is burning the midnight oil making the next big thing.","0","Advanced Micro Device"
"600",1024,2012-10-26 10:44:48,FALSE,2086087,2,3,1,0,1,1,3,"easy going culture\r\ngood severance package","I had survived through 5 layoffs in the past 5 years. Finally got hit the 6th time. \r\nAs you can see, the upper management hasn't done anything different. \r\nI guess this is what happens with every layoff they say \""It is not about your performance\"".","0","Advanced Micro Device"
"601",1025,2012-11-09 10:06:42,FALSE,2121894,2,4,1,0,2,1,4,"AMD still has some great people to work with.","Top level direction has not succeeded in stablizing the decline. Significant layoffs have increased the workload for survivors. The current marketplace problems are not related to the economy at large - the products are uncompetitive.","0","Advanced Micro Device"
"602",1026,2012-12-06 12:15:27,TRUE,2187306,2,3,2,0,1,3,4,"Great talented people\u002Fengineers\r\nCompetative Pay and benefits\r\nBeautiful Go Green Campus located in the Hill Country","Business is suffering greatly and layoffs are occuring on an annual basis if not more often.","0","Advanced Micro Device"
"603",1027,2014-08-10 10:27:03,FALSE,4752257,2,3,2,0,2,3,4,"Lots of smart, driven people. Lots of room to use new tech and solve problems as you see fit, not much micro managing.","AMD has a history of feast and famine that it never seems to be able to shake.  One year you are getting a bonus, the next year half your team gets laid off.  Uncertainty is a constant at AMD.","0","Advanced Micro Device"
"604",1028,2014-10-22 10:28:43,FALSE,5223945,2,3,2,0,3,3,3,"Potentially good work\u002Flife balance if you don't have too many conference calls in off hours.\r\nChallenging projects","Potentially (very) bad work\u002Flife balance because projects are often executed at too many sites. A lot of off-hours conference calls and work.\r\nCustomer satisfaction is not a high priority at AMD. Continuing financial challenges make people to focus on internal matters rather than customers.\r\nToo frequent changes in product roadmap and plan.","0","Advanced Micro Device"
"605",1029,2014-12-02 10:01:17,TRUE,5468340,2,3,3,0,2,2,4,"- Great people to work with\r\n- Good experience which will help you in future\r\n- Flexible work schedule","- Hard work and commitment means nothing when it comes to layoffs, which is common here at AMD\r\n- Product delays are common which could lead to it being scrapped.. so when the ship sinks, make sure you are not on board","0","Advanced Micro Device"
"606",1032,2012-08-17 09:43:09,FALSE,1856970,3,5,3,0,1,2,2,"Cutting edge technology.\r\nLots of talented engineers","Chaos in direction and management. No clear direction. Lots of politics at management level.\r\nNot enough opportunities to grow.","0","Advanced Micro Device"
"607",1033,2016-03-27 18:12:40,TRUE,10059246,5,2,1,0,2,1,1,"There is a paycheck.  You get a few benefits.  Hours are long but sometimes flexible.   Lots of good people still work there.","Numerous.  Benefits are poor.  Health insurance is very expensive relative to other companies. You are not insured while traveling on company business.","0","Advanced Micro Device"
"608",1035,2018-01-10 12:15:57,TRUE,18669045,4,5,5,0,5,5,5,"Leadership, technology stack, current direction the company is heading, and their ability to deliver high quality technology that is far superior than competitors.","Fast growing which can make it difficult to get things done. Processes need to be updated for fast changing technology landscape.","1","Advanced Micro Device"
"609",1036,2019-06-29 00:32:18,TRUE,27693578,2,5,4,0,5,5,4,"Great people, supportive environment. Bleeding edge technology.","Management is a bit too hardware focused when there is a lot of software needed to take advantage of the hardware.","1","Advanced Micro Device"
"610",1038,2008-06-17 09:07:31,FALSE,25228,2,4,0,0,1,1,2,"There are a lot of smart engineers working at AMD that, given the proper chance, can do great things with limited resources.  The work environment is fairly relaxed and flexible.","Incompetent executives,  lack of corporate direction, canceled important projects, removal of benefits, poor health plan (UHC), no bonuses or pay raises.","0","Advanced Micro Device"
"611",1039,2008-07-07 06:32:01,TRUE,39317,3,2,0,0,1,3,3,"Great place to learn. You are one of the few that really understands how to build complex chips.","It is like working for the Government. The decisions are slow.","0","Advanced Micro Device"
"612",1041,2012-04-16 11:08:01,FALSE,1448176,3,4,0,0,1,1,2,"1) The people - engineers (hardware, software and debug) were fantastic people.  Lower management as well were all hard working and conscientious.  I would gladly call everyone I worked with my friend.\r\n2) Work life balance - Other than bringup\u002Flaunch times, plenty of leeway was given to do the things that we all want to do: go to school with kids, eat dinner at home with family, go the the gym, etc.\r\n3) Doing what you want - I was firm enough with my manager that when I said I was going to do something, I meant it.  So, when I wanted to learn something new, I was able to go do it.","1) Squeaky wheel syndrome - I was squeaky, so I got more grease than those around me, but they don't give you ANYTHING that you don't demand.  They really should reward people for their effort, not for their complaining.\r\n2) Management sucks - I was there for 7 or 8 rounds of layoffs and I kept watching the talent walk out the door while the managers and PMs filled their ranks with \""architects\"" and fellows.","0","Advanced Micro Device"
"613",1049,2013-02-22 12:13:56,FALSE,2394484,1,1,2,0,2,3,2,"Cutting Edge Work\r\nTons of opportunity for career advancement unfortunately caused by people leaving\r\nSmart Coworkers","Constant Turmoil and Flux\r\nUnder staffing meant long hours \r\nBusiness Climate meant little pay advancement\r\nPockets of low morale permeated the company","0","Advanced Micro Device"
"614",1059,2012-12-14 10:17:04,FALSE,2208471,2,5,4,0,2,3,4,"good quality of people and work, time flexibility at work is the best thing  they offer. Company has head office in california but now a days every decision is taken in Austin","company not making profit as the projects they are working are not good. they should motivate employees and should accept the new innovative ideas.","0","Advanced Micro Device"
"615",1061,2015-07-12 10:55:14,FALSE,7196970,4,3,3,0,1,2,4,"Good pay and benefits, great work culture, decent work\u002Flife balance","Yearly layoffs, consistent sub-par financial performance, future financial health is uncertain, it is not apparent that meaningful strategy corrections have been made to change the present course","0","Advanced Micro Device"
"616",1062,2015-11-09 10:20:29,TRUE,8587748,4,4,2,0,3,3,2,"Work-life balance.  Walk my dog every day at lunch.  Can afford to live near the office.  Working on products anyone can buy is pretty cool.","Schedules are always set unrealistically aggressive and lessons are seldom learned.  Hate describing the company on the street to people as Intel's competitor.","1","Advanced Micro Device"
"617",1063,2020-06-28 15:23:51,TRUE,33943768,2,1,5,0,4,5,2,"Great place to think outside the box. Good company culture and you feel proud of your work. Teammates really work with you towards common goal.","Many groups are understaffed requiring longer hours than other companies. Pay is also less competitive vs. similar companies.","1","Advanced Micro Device"
"618",1064,2008-10-09 17:41:37,FALSE,97395,4,3,0,0,1,1,3,"Good work-life balance.  Seasoned Engineers with extensive experience in x86 designs.","Compensation does not match with the market. It used to be a engineering powerhouse but no more. Lot of good engineers have left and leaving on a daily basis.","0","Advanced Micro Device"
"619",1065,2009-08-23 00:01:40,FALSE,273484,2,4,0,0,4,4,3,"At AMD, you will likely benefit from:\r\n-Work\u002Flife balanace\r\n-Advancement opportunities\r\n-Annual raises (depending on performance)\r\n-Sabbatical (after 7 years)\r\n-Name recognition good for future job opportunities","-Pay tends to be slightly below average\r\n-Benefits are decent, but not oustanding\r\n-The underdog syndrome (vs. Intel)\r\n-Telecommuting policy depends on department or individual manager","1","Advanced Micro Device"
"620",1066,2010-05-27 12:28:16,FALSE,512240,2,4,0,0,1,2,3,"Large semiconductor industry player, access to whole platform experience","Some nepotism, frequent changes in long term strategy, overall lack of strong competent leadership. Great fundamentals (people, technology, resources) but continued poor leadership makes AMD a tough place to recommend.","0","Advanced Micro Device"
"621",1067,2011-01-17 19:36:01,TRUE,777098,3,3,0,0,1,3,2,"The people are great. A very family friendly company. The office always has a good feel to it. It is very rare to run into anyone that is not nice.","Wish the company had a solid direction in the industry, instead of being happy with being number 2. This mentality goes all the way down too.","0","Advanced Micro Device"
"622",1069,2015-07-09 18:17:01,TRUE,7171087,2,1,3,0,1,1,1,"Company has great technology and people.  They are the only company that has both x86 and high end graphics.","Very confused on their product roadmaps.  We have now gone full circle back to the company strategy that the CEO in 2010 was let go for.  They are understaffed to be effective in getting products to the market and financially in a very difficult position.","0","Advanced Micro Device"
"623",1071,2014-02-28 23:41:13,FALSE,3787696,2,4,1,0,1,1,3,"great graphics technology, good work-life balance most of the time, some good research opportunities, relaxed work ethic, nice coworkers, not too much local politics","this company is a chronic underachiever and so cannot attract talented executives (who are compensated in relation to the company profits).  managers range from incompetent to lackluster.  An engineering career will go nowhere here but you may gain valuable experience.","0","Advanced Micro Device"
"624",1072,2014-06-28 04:04:13,TRUE,4485518,3,2,5,0,3,2,2,"Excellent engineer staff and cooperative environment","Unhealthy business, bad bonuses as a result. No job stability. Super efforts are the expectation and are undervalued.","0","Advanced Micro Device"
"625",1073,2014-09-28 18:30:18,TRUE,5059325,2,2,3,0,4,2,4,"Work is challenging and interesting when times are good and it really can feel like you are making a difference","Business can be hit or miss and this can provide many stressing points - work load, job security, outsourcing, technical focus, etc","0","Advanced Micro Device"
"626",1074,2018-06-06 14:31:05,FALSE,20925065,4,0,0,0,0,0,0,"Pretty good parental leave program, lots of social events and food, decent benefits","Infrastructure is terrible.  Lots of blame, no real direction or support.  They are growing and doing well but they don't have the infrastructure to properly support the folks on the inside doing corporate functions.","1","Advanced Micro Device"
"627",1075,2012-11-17 16:41:10,TRUE,2143140,5,3,4,0,2,4,3,"Company culture is great, and work is full of challenge, while there are some chances to do what you want to do. The cafeteria is also nice.","The PC market is getting challenge from tablet and cellphone. Fushion is coming late. Company_level management need to be more insight.","0","Advanced Micro Device"
"628",1077,2015-06-19 00:56:57,TRUE,6953844,2,5,4,0,2,4,3,"Good company and with many technical colleagues, can learn lots of interesting things.","The business can not still find the new resource of growth, lots of intelligent engineers have leaved this company.","1","Advanced Micro Device"
"629",1078,2015-07-23 10:46:52,FALSE,7326980,4,3,1,0,2,2,4,"Large company, solid benefits, there are still AMD fans in the market","Large Company, multiple restructures, unsure they will maintain the proper revenue to keep long term strategy of diversification possible, need technology to compete in server business","0","Advanced Micro Device"
"630",1088,2020-05-13 11:01:50,TRUE,33159950,3,2,4,0,4,4,3,"-Work with some of the smarted people in Comp HW and SW.\r\n-Easy to learn from others and move teams within the company.\r\n-Employees and managers care.","-Work-life balance is difficult depending on the team.\r\n-Expected to work late into the night.\r\n-Pay may not be comparable to the location.","1","Advanced Micro Device"
"631",1089,2009-08-25 20:44:57,FALSE,275113,4,4,0,0,3,3,3,"have a lot of free time\r\nget paid doing not much \r\nget free food\r\neat apples a lot\r\naccounting work occasionally","bad place to work for those who are ambitious\r\nterrible managers\r\nno incentives to promote growth in company numbers and staff","0","Advanced Micro Device"
"632",1091,2014-08-13 11:48:37,FALSE,4772638,3,4,3,0,1,1,4,"Good work life balance and great facilities in Austin.  No micromanging","3 cycles behind the competition on product development, cut back engineers but keep hiring PR people.  No focus on what market to be in","0","Advanced Micro Device"
"633",1092,2015-10-22 21:28:32,TRUE,8402264,4,4,3,0,2,2,3,"Great environment and people.  A lot of talented engineers and good mid-level managers\r\nGood benefits and competitive pay. \r\nGood work from home program.","Not profitable lately and annual layoff have been demoralizing\r\nNo a lot of opportunities for upward mobility at the management level\r\nLack of leadership and clear directions to get back to profitability","0","Advanced Micro Device"
"634",1093,2016-04-12 16:28:29,FALSE,10247193,2,4,4,0,3,4,3,"Company has a huge heart and wants to succeed.  Loyal employees with great talent.  They fight the good fight.","Poor business outlook. Massive attrition over the last 3-5 years.  Most all perks have been laid to rest.  Severance packages are not what they used to be.","1","Advanced Micro Device"
"635",1094,2010-07-14 01:11:27,TRUE,566609,3,5,0,0,3,1,1,"Friendly co-workers.\r\nGood managers.\r\nOn-site gym and cafe.\r\nA good place to learn stuff if you really want to learn.","Below average compensation. \r\nToo many hierarchies.\r\nThe chances to get promoted is very slim.\r\nNothing is quite efficient with too many politics.","0","Advanced Micro Device"
"636",1095,2014-12-08 02:19:25,FALSE,5499082,3,0,4,0,1,4,2,"Technically its great place to work. You can learn and gain a lot of technical knowledge and expertise.\r\nThere is enough work on plate so you will never be idle.","Pay and bonus are not good. Bad top management decision on defining the product line.\r\nWork life balance is poor.","0","Advanced Micro Device"
"637",1096,2016-01-07 15:14:27,FALSE,9112157,3,3,3,0,2,1,4,"Great opportunities in discrete GPU, virtual reality and server chips","Their business is not growing, PC is contracting,  limiting individual growth within the company","0","Advanced Micro Device"
"638",1098,2017-01-27 10:17:25,FALSE,13515084,3,5,4,0,3,2,3,"* Great work-life balance\r\n* Flexible work schedule\r\n* Smart engineers","* Bureaucratic career advancement (must wait in line for seniority, do this for X years, etc.)\r\n* As a Sr. Engineer, feels like I'm a cog in a machine\r\n* Small raises; it pays to job hop if financial compensation is what you're after","1","Advanced Micro Device"
"639",1099,2012-11-09 10:25:15,TRUE,2121949,4,4,3,0,2,3,3,"I have had good success with my direct bosses.  Hard work is rewarded by management.  Great technology to work on.","Company performance is very volatile. Many layoffs over the past 5 years.  Your own performance may not be well rewarded if company is not performing well.","0","Advanced Micro Device"
"640",1101,2016-01-18 06:34:43,TRUE,9234791,3,3,3,0,1,2,3,"It used to be an innovative and fun place to work.","Downfall of the company is primarily caused due to poor decisions by upper management.  Unfortunately they are immune from layoffs and still continue to earn fat paychecks.","0","Advanced Micro Device"
"641",1102,2016-02-27 15:35:27,TRUE,9726977,4,0,0,0,0,0,0,"AMD creates state-of-the-art microprocessor chips.  It is a good environment to gain experience, particularly for design and test.","AMD's has not been financially stable for several years and has been fighting a losing battle between Intel and NVidia.","0","Advanced Micro Device"
"642",1103,2018-01-16 10:15:03,FALSE,18757311,1,4,4,0,3,4,4,"Good salary, flexible environment, and nice people around.","Hard to improve if you keep working in one field, and also hard to change to another position because you are familiar with your current one.","0","Advanced Micro Device"
"643",1104,2018-10-06 23:29:04,FALSE,22832599,4,2,2,0,2,2,2,"Exciting technical work and cool products","- Toxic management and horrible managers who are not technical, and would rather micromanage\r\n- Condescending and patronizing behaviour in most pre-Silicon teams\r\n- Horrible trend of seniors looking down at juniors, and not giving breathing room, or providing proper teachings in early stage of career\r\n- No team spirit and sense of community\r\n- Sub-par salaries","0","Advanced Micro Device"
"644",1105,2008-06-17 08:28:51,TRUE,25153,5,4,0,0,4,4,3,"The people, and some damn good products (when we execute).","Lack of leadership and clear strategy for sustained growth and success.","0","Advanced Micro Device"
"645",1106,2012-03-20 13:21:06,TRUE,1400729,2,5,0,0,4,5,5,"Benefits are great, work life balance is emphasised.","Large company can make communication across teams challenging.","1","Advanced Micro Device"
"646",1107,2012-09-05 14:09:53,TRUE,1922094,3,4,1,0,2,3,2,"Great people to work with.  Really bright.","Decisions take a really long time to make.  Progress is slow.  Company never caught up with growth.","0","Advanced Micro Device"
"647",1108,2012-10-09 20:16:48,TRUE,2033296,3,3,3,0,1,3,3,"AMD  is a good place for fresh graduates to learn the advanced knowledge and skills.","Management needs a lot of improvement.","0","Advanced Micro Device"
"648",1109,2012-10-18 16:08:38,FALSE,2062900,3,4,3,0,1,3,3,"Friendly co-workers, interesting problems, usually feels like there is hope of surpassing intel with each project.","Stack ranking is a horrible review system, the stories I have read about Microsoft stack ranking sound very similar to my experience at AMD.","0","Advanced Micro Device"
"649",1111,2017-03-16 16:59:29,TRUE,14220530,2,4,4,0,4,3,3,"- Medium and long term strategy is clear and defined\r\n- Top management are more open to discuss and open the path for the company\r\n- Good progress on taking care of personnel\r\n- People empowerment","- HR Area has to develop clear communication channels","1","Advanced Micro Device"
"650",1112,2017-08-10 13:10:55,TRUE,16306784,1,2,3,0,2,2,2,"Best machines to work on, newest technologies, best-in-class software tools, best design flows with great support, exciting projects.","Management forces many engineers have a very narrow work focus; those with a desire to work on a broad set of tasks are frowned upon. Management oftentimes plays favorites, whether by age, race, or location.","1","Advanced Micro Device"
"651",1113,2013-03-01 13:25:45,TRUE,2417774,3,3,1,0,1,1,1,"Good co-workers. You can learn a lot on the job (as you will have a ton of work to do). Nice office building (but will be sold soon)....","Compensation below industry standard. No pay hike, promotion. No respect for talent. No training opportunities. Don't ever think of management opportunity if you are an Asian. Management doesn't care if you quit. HR Exit interview is not mandatory.","0","Advanced Micro Device"
"652",1114,2013-05-21 21:33:48,TRUE,2668879,3,4,3,0,2,3,3,"Relatively strong engineering team and good culture. Good place for fresh graduates to learn and pick up the skills.","Management needs to be improved. Product Road map should be well set up and executed. There were too many projects cancelled and that's a big waste.","0","Advanced Micro Device"
"653",1115,2013-06-05 11:52:26,FALSE,2709395,3,4,3,0,3,3,4,"- Working with amazingly smart people\r\n- Great products and partners to work with\r\n- Amazing work\u002Flife balance","- Alignment issues and unclear roles and responsibilities caused confusion and duplication of efforts\r\n- Morale issues due to annual layoffs and budget cuts\r\n- Lack of direction and follow through","1","Advanced Micro Device"
"654",1117,2020-02-07 22:01:10,TRUE,31749403,2,1,1,0,1,1,1,"Nothing good except CEO is very good.","Backstabbing culture. Don’t join the server team. It’s the worst culture ever! No work life balance. No respect or inclusiveness. Treat people with no respect. Bad leaders make up the organization that want to show they are doing a lot but they are just there to squeeze work from people under a gun! No process whatsoever ever. Chaotic management.","1","Advanced Micro Device"
"655",1118,2008-06-16 07:51:34,TRUE,22919,2,3,0,0,1,3,2,"new and exciting innovative technologies","lack of vision from management, lack of support from management, too much red tap, multiple people doing the same job, management take credit for your work, people are too busy bending over backward to please management even though it is teh wrong thing todo for AMD.","0","Advanced Micro Device"
"656",1121,2013-03-27 14:40:45,TRUE,2506398,2,1,4,0,2,3,3,"Get to work on complex designs, advance skills and grow network.","Difficult to advance on career ladder, company is not stable and goes through cuts at least once a year, bonuses are minimal or none.\r\nExpect to work a lot of overtime.","0","Advanced Micro Device"
"657",1122,2014-12-13 16:46:38,FALSE,5534744,3,4,2,0,1,2,3,"Engineers in general are reasonable.","A company that does not know how to build or market software that runs on their CPUs or GPUs","0","Advanced Micro Device"
"658",1123,2018-02-18 19:31:11,TRUE,19307583,5,2,3,0,3,3,4,"Great employees who never stop; bleeding edge products","Always in crisis mode; competing against all the big names (Intel, Nvidia, etc.) so always fighting to gain edge","1","Advanced Micro Device"
"659",1125,2012-12-07 12:33:00,FALSE,2189759,3,4,3,0,2,1,4,"Talented people to work with.","Top heavy on the management side.  Very sad that the company is completely miss managed (started with Hector, got better with Dirk, now it's worse than before).","0","Advanced Micro Device"
"660",1126,2013-03-10 12:18:40,TRUE,2447498,4,5,3,0,2,2,4,"Great People and the work is challenging which always good, Company had great IP (CPUs and Graphics)","Too many re-orgs, Teams works very well within themselves but lacks the coordination needed between them","0","Advanced Micro Device"
"661",1127,2014-05-30 12:19:09,TRUE,4315824,3,3,5,0,3,4,3,"Flat organization - managing your own work\r\nPersonal growth - provide trainings","Compensation - on the low side\r\nWork\u002FLife balance - night calls","0","Advanced Micro Device"
"662",1128,2015-11-09 18:46:40,TRUE,8593546,5,4,4,0,1,3,4,"Talented engineers to work with. Good work life balance.","Management has failed to execute in past few years! AMD looks like a sinking boat. Talented people are leaving the sinking boat.","0","Advanced Micro Device"
"663",1129,2016-03-22 08:21:28,TRUE,10000113,4,4,5,0,3,5,3,"Great people with a strong desire to succeed.","Previously poor management and decision making hinders the current environment. They are working to change but some mistakes take a long time to dig out from.","1","Advanced Micro Device"
"664",1131,2020-10-12 14:02:37,TRUE,37051909,4,5,5,5,5,5,4,"If you are a team player and believe in the company vision, they will keep you and promote your career","Sometimes hard when teams reside in Austin","1","Advanced Micro Device"
"665",1132,2011-05-12 06:38:45,FALSE,935231,3,4,0,0,4,4,5,"Great technology,  clear roles and responsibilities.","Started getting very political, roadmap focus became shaky.","0","Advanced Micro Device"
"666",1133,2012-09-22 14:28:25,TRUE,1981029,3,3,3,0,2,4,3,"good and challenging work. feels good to be working for a company which is regarded as an underdog","ever changing roadmaps and fickle management","0","Advanced Micro Device"
"667",1134,2013-01-15 15:04:08,FALSE,2283447,3,4,4,0,2,3,5,"AMD treats employees well, the pay is great, they care about innovation and supporting the community.","Awful politics and not so great executive leadership.","0","Advanced Micro Device"
"668",1135,2013-02-06 16:04:45,FALSE,2347411,4,2,4,0,3,3,3,"Great place to expand your IT knowledge","Brutal life and work balance","1","Advanced Micro Device"
"669",1136,2013-07-07 07:28:23,FALSE,2798656,4,5,5,0,5,4,5,"Strong Engineering Organization\r\nComplete Computing Solutions\r\nLatest and Greatest Technology \r\nCommands respect from the largest fabless manufacturers","Challenges competing with the major in the pc computing environment","0","Advanced Micro Device"
"670",1138,2018-09-24 16:23:23,FALSE,22637663,3,0,0,0,0,0,0,"A lot of dedicated people with a lot of opportunities\nGiving Dr Su leadership position","At the time I was there, there was a lot of confusion about what to focus on  and my division was eliminated.","1","Advanced Micro Device"
"671",1139,2008-06-24 16:56:49,FALSE,32943,2,4,0,0,1,2,4,"Great co-workers ... huge market potential","Lack of patience and consistency to see through new strategies.","0","Advanced Micro Device"
"672",1143,2009-11-05 15:38:05,TRUE,318990,4,3,0,0,2,2,3,"salary is good. benefits are good. potential for company growth","Too much favoritism. Employee performance is not properly assessed or rewarded.","0","Advanced Micro Device"
"673",1144,2011-08-17 19:49:09,TRUE,1068347,2,4,0,0,2,4,5,"Great pay compared to other companies!\r\nFlexible schedule most of the time!\r\nGood benefits!","Tired of explaining who AMD is to others!\r\nTired of barely earning a profit or losing money every quarter!","0","Advanced Micro Device"
"674",1145,2012-12-06 11:04:07,TRUE,2187037,4,5,5,0,1,1,5,"Great work environment.  Work\u002Flife balance is very good.","Large layoffs every year.  CEO and Executive Management is very poor -- they don't know how to make the company profitable.","0","Advanced Micro Device"
"675",1146,2013-03-05 20:36:30,TRUE,2431552,4,5,4,0,3,5,5,"Ability to work on cutting-edge technologies; good work\u002Flife balance; nice facilities; sense of community and shared purpose among employees; good pay.  Opportunities to contribute on multiple projects.","Perineal underdog... Company fortunes seem like a roller-coaster ride; Bonuses are hit-and-miss; More layoffs than rest of the industry.","0","Advanced Micro Device"
"676",1147,2013-12-16 17:06:52,TRUE,3428307,4,5,4,0,2,4,3,"Amazing people to work with. Lot of talented people around and plenty of learning opportunities. Great work life balance","Job security. Management missteps quickly trickles down to hurt the employees.  Less bonus compared to competition","0","Advanced Micro Device"
"677",1148,2015-11-27 12:12:12,FALSE,8760676,2,4,3,0,4,4,4,"Ability to influence upper management for the strategy for the product \u002F region strategies.","AMD needs to have more products manufactured with other hardware vendors to capture more commercial and embedded product market.","1","Advanced Micro Device"
"678",1149,2016-03-16 03:14:12,FALSE,9933412,4,4,4,0,4,1,4,"Good people. Immediate supervisors were top notch. Salaries used to be competitive.","Bad management decisions, on several occasions.\r\nBad management decisions. Bad, bad, bad.....","0","Advanced Micro Device"
"679",1151,2018-02-05 21:02:01,FALSE,19095051,1,1,1,0,1,4,3,"Good pay and benefits. Free parking and cafeteria on site.","My director told me that co-workers should never be my friend, just my competition. Wow.  Absolutely no work\u002Flife balance and extreme sexism in business units. Amazing that AMD is not a start up and has been around for many years because systems are fractured, processes are few and we reinvent the wheel every few months.","0","Advanced Micro Device"
"680",1152,2013-02-02 01:47:23,FALSE,2334290,3,3,2,0,1,1,3,"Nice environment as far as buildings\u002Flocation at the Austin campus.  Most people were great, worked hard and very loyal","NEVER see this company as an advancement in a career and NEVER count on it for long term stability.  Your best off looking for other work if you are still employed and leave on your own terms because the next layoff is ticking closer.","0","Advanced Micro Device"
"681",1154,2018-04-08 11:30:11,FALSE,20065595,3,4,3,0,2,3,3,"Good GPU technology! Flexible schedule。","Low salary, and almost no bonus! the worst is the management! If you are not the tech leader or favorite buddy in your group, then you are the second class citizen.","1","Advanced Micro Device"
"682",1155,2009-05-03 10:31:51,TRUE,217465,4,2,0,0,2,3,3,"Great engineering company with great technology exposure and high visibility tasks readily given to relatively fresh hires.\r\nBase pay scales in-line or slightly better than industry\r\nGreat location in Austin\r\nFriendly atmosphere","Long hours, bad work\u002Flife balance\r\nHigh pressure but relatively lower payback\r\nBonuses almost non-existant","1","Advanced Micro Device"
"683",1156,2011-12-12 05:58:37,TRUE,1235847,2,5,0,0,4,4,3,"Smart people to work with; opportunities to make a difference; reasonable compensation; many different departments allow you to change the work that you wish to do.","1. workflow needs to improve\r\n2. should focus more on the mobile and client side\r\n3. more research stress required for innovations","1","Advanced Micro Device"
"684",1157,2012-08-22 15:56:56,FALSE,1875617,2,2,2,0,2,2,5,"They pay well and you'll find some very talented folks at the contributor level.","Management does not support its contributors.  No consistent ability to execute.","1","Advanced Micro Device"
"685",1158,2013-04-18 17:14:41,TRUE,2574584,4,3,1,0,1,2,1,"none really, unless you are looking for an H1B visa which they will use to lock you in","management has no clue where to go and is in cost cutting everything mode. Most benefits are gone","0","Advanced Micro Device"
"686",1159,2013-10-05 18:51:49,FALSE,3142807,3,3,3,0,3,4,4,"The people are great. I enjoyed working with my team. I was well compensated for my services and received fair reviews.","I wish the company was more financially stable. They've had a hard time competing. I wish them the best.","0","Advanced Micro Device"
"687",1163,2016-02-09 15:11:45,FALSE,9512723,3,3,2,0,2,2,2,"Exposure to senior leadership, diversity, networking.","AMD has been laying off people constantly because of restructuring. Not a good place to start a long-term career.","0","Advanced Micro Device"
"688",1164,2017-03-31 16:30:10,TRUE,14438645,3,3,2,0,1,4,2,"Cutting edge stuff - company is turning itself around.  Very challenging work.","Benefits are pretty terrible.  Culture way too siloed and not a lot of efficient collaboration across teams.","1","Advanced Micro Device"
"689",1165,2019-08-05 15:31:40,TRUE,28451267,4,4,3,0,3,3,3,"good work-life balance, friendly co-workers, positive work environment","Management not invested in employee career growth, no cool vibe, low key atmosphere, no perks or good benefits","1","Advanced Micro Device"
"690",1166,2008-06-11 09:31:56,FALSE,5807,3,2,0,0,3,3,3,"Good people, decent salaries, occasional work events","downsizing, bonus freeze, bureaucracy, lack of growth opportunity, events over bonuses","0","Advanced Micro Device"
"691",1167,2008-06-23 11:43:04,TRUE,31840,1,3,0,0,4,2,4,"Work\u002Flife balance\r\nCulture\r\nValues\r\nPeople\r\nCommitment\r\nAbility to make a difference","Politics\r\nBureaucracy\r\nBoys Club\r\nCover your ass mentality\r\nTendency to micromanage\r\nMore decisions need to be made bottoms' up\r\nMore leadership accountability\r\nConservative tendencies","1","Advanced Micro Device"
"692",1168,2009-12-08 14:58:35,FALSE,338198,5,1,0,0,2,1,1,"The low level engineers are friendly and good people.","Long hours, constant work over holidays, weekends, and evenings.\r\nLow pay, few perks.\r\nEgotistical, stubborn managers, some that belong to a tightly-knit \""old boys club\"".\r\nZero attention to employee career\u002Fknowledge development.","0","Advanced Micro Device"
"693",1169,2012-06-14 15:28:20,TRUE,1603813,4,5,3,0,4,4,4,"Good visibility of your work, less pressure, freedom to chose the work, excellent management focus to increase skill-set of employees.","Less chances of getting an exciting work initially unless you are experienced.","1","Advanced Micro Device"
"694",1171,2015-09-15 22:09:22,FALSE,7965219,3,3,2,0,3,3,3,"a good place to learn new knowledge and enough high tech test equipments","Business not running well, seniors all left.\r\nAlways layoff.\r\nNo good product.\r\nReorganize frequently.","0","Advanced Micro Device"
"695",1173,2018-09-04 04:26:20,FALSE,22300618,4,4,4,0,4,4,5,"A lots of technical experts and very good compensation and benefits.","Some wastes of manpower due to lack of infrastructure.","0","Advanced Micro Device"
"696",1174,2019-01-05 08:11:06,TRUE,24067331,4,3,5,0,3,5,3,"There's plenty of opportunity to work on all parts of the design process and management is flexible to accommodate employee's preferences.","High turnover especially in upper management doesn't inspire confidence.","1","Advanced Micro Device"
"697",1175,2011-11-02 11:03:01,FALSE,1181443,3,4,0,0,3,3,4,"Interesting work, smart people, free coffee.","Sometimes a bit of a scramble figuring out what products to make.","0","Advanced Micro Device"
"698",1176,2012-01-11 17:00:50,TRUE,1277392,2,3,0,0,2,3,3,"Easy going company . They will always remain a no 2 company","Very slow company with no direction","0","Advanced Micro Device"
"699",1177,2013-03-05 12:55:29,FALSE,2429879,5,3,1,0,1,2,4,"Super folks in all areas.","Company has lost real focus, struggling to mainatin hold in the industry.","0","Advanced Micro Device"
